Date,Realized_PnL,Vine_VaR,Vine_ES,Vine_Std,Vine_Hit,Indep_VaR,Indep_ES,Indep_Std,Indep_Hit,n_I,n_constituents
2025-04-14 12:00:00,-318.79897510036375,-1420.3347471119578,-2155.611240499001,610.7702583525005,0,-2532.6132473968587,-4622.444871884858,1446.7450281005968,0,442.8570887473399,7
2025-04-15 12:00:00,-47.70215322201669,-1051.7462789759422,-1741.1812387097953,578.9064823862433,0,-2149.492433876009,-4062.044295247783,1312.00270987274,0,441.8328930962092,7
2025-04-16 12:00:00,-6.5554352645127025,-992.9000615691531,-1713.3252281606099,563.3651428509262,0,-2162.737464522264,-4084.9587601423536,1373.8425402380485,0,440.75518360735146,7
2025-04-17 12:00:00,-119.26391797055638,-694.9256289670916,-1150.9890115029787,563.7671722992927,0,-1726.8567554272872,-3251.7309096613426,1160.5955947483553,0,437.07122201461806,7
2025-04-21 12:00:00,-476.22711907819297,-1149.7698574217452,-1691.8831281051625,498.15310872122944,0,-2283.2961456755256,-4152.019107039198,1299.447430789701,0,434.1466411081901,7
2025-04-22 12:00:00,146.8116196094261,-621.1618065497372,-1021.1066946354986,443.8714752080038,0,-1628.9795980121344,-3136.3418994563513,1087.038504621145,0,430.5186727054739,7
2025-04-23 12:00:00,276.27146910230664,-966.1416189583178,-1569.7341612873058,551.4022581721742,0,-2344.1662248373386,-4298.639893156225,1389.518799933878,0,433.02491438819305,7
2025-04-24 12:00:00,-109.4292625094568,-731.3732058561272,-1180.9478523376183,824.1535230162164,0,-1956.5727630447905,-3856.0375908309343,1311.3961902140334,0,436.72164534838714,7
2025-04-25 12:00:00,905.6959417662016,-534.5984114639555,-905.6123618453616,483.7439309712079,0,-1836.948662591132,-3535.7806780087312,1269.4836756772045,0,436.04686413816484,7
2025-04-28 12:00:00,-360.81303232574913,-731.0304736856092,-1034.4869988256344,566.9744982004615,0,-1993.3743256269472,-3574.1800463034474,1201.1376258953699,0,443.389585410411,7
2025-04-29 12:00:00,-9.436686580457344,-336.3615092676507,-564.698020901132,552.4096764564524,0,-1331.0037080995144,-2525.2711414616333,975.3582294178448,0,441.1755960016128,7
2025-04-30 12:00:00,-103.33065461613296,-312.6081163713955,-484.7995496468954,464.4119751130907,0,-1407.7341223442063,-2508.210940794607,994.2295660532016,0,442.3698496939187,7
2025-05-01 12:00:00,2205.262848206572,-255.26091982267837,-392.4675675544326,578.6868367962982,0,-1159.1616689958955,-2264.498142945005,920.5858128476532,0,440.0670806315431,7
2025-05-02 12:00:00,-2.691028048532777,-258.38112972750105,-415.02161924205274,554.2077975236494,0,-1261.791139283564,-2455.867855639352,999.3579950326493,0,448.9830268506459,7
2025-05-05 12:00:00,-80.13275686125398,-366.1940984883675,-499.2157638959924,685.0924791625774,0,-1229.5129635323447,-2422.2113310552418,1036.1022970173365,0,445.77559434389093,7
2025-05-06 12:00:00,-191.22082183841835,-124.69074488142937,-203.91587289698194,685.0968084920224,1,-786.4424857309576,-1617.2615548096308,853.2620859302098,0,441.774604765071,7
2025-05-07 12:00:00,435.4706007579868,-104.6611882747323,-187.502787254555,658.4778534458246,0,-765.6167282857024,-1602.4184183489233,861.0107083752628,0,443.998963665494,7
2025-05-08 12:00:00,127.02836497077327,-140.0847659901023,-247.39820610745903,594.7465325990186,0,-896.6111802338309,-1834.0303689394234,885.2985553401641,0,441.44190596288587,7
2025-05-09 12:00:00,87.18195777718182,-128.0133529346449,-235.74010760723695,656.3520793160311,0,-906.2840818221308,-1776.5848570884018,971.9711775839069,0,443.7966290667672,7
2025-05-12 12:00:00,276.3790911635234,-307.49452410561065,-380.00425107089063,702.1677904543124,0,-936.397441156047,-1718.8358435280918,856.8445601494645,0,445.7756784670887,7
2025-05-13 12:00:00,-242.2824929394854,-125.51276224973506,-218.21420611632826,672.7894277253886,1,-843.1334285413668,-1784.8478732790222,952.1787217701703,0,448.7202970985213,7
2025-05-14 12:00:00,844.1471221281697,-135.81703817416835,-222.45471421728033,734.742473727224,0,-830.8204830143385,-1725.4937370950365,889.3104236684419,0,447.77334908505264,7
2025-05-15 12:00:00,-64.92413511846104,-156.80968196463357,-253.12603091787756,814.3429751580784,0,-783.296939044219,-1605.9861122816924,859.4411033045802,0,455.4023609712172,7
2025-05-16 12:00:00,50.019905377758654,-136.0372111570363,-202.2314488679926,639.8714241475565,0,-681.4282994190061,-1466.5856315841168,790.8290203450055,0,452.48374078672225,7
2025-05-19 12:00:00,-179.31118360232875,-408.46698215708534,-473.6178692119748,671.3363145772612,0,-954.5625919584769,-1679.3217134890162,854.2408896810324,0,452.3575684205899,7
2025-05-20 12:00:00,82.1008154117107,-116.62921095559884,-170.89164671744848,632.280242957346,0,-570.7567381997989,-1323.0954471932018,764.0606500046318,0,450.89592334605794,7
2025-05-21 12:00:00,-0.489604399157904,-123.1571780674645,-172.97101031686157,639.9646126648928,0,-557.9850875337097,-1145.4160869232883,743.1457654823056,0,452.37031296693135,7
2025-05-22 12:00:00,-189.10888505160108,-115.18596089190532,-159.3914482358398,684.0603077567679,1,-548.3385269387212,-1162.165837504476,709.7196437687525,0,451.65781911778555,7
2025-05-23 12:00:00,-210.5847516878808,-115.50854831205544,-155.43778398204134,852.9692799044036,1,-439.19289021461117,-970.9365611412097,667.4396315231211,0,453.02154489498275,7
2025-05-27 12:00:00,-315.9524802517608,-474.94097925090335,-537.8359379860908,588.8122643081041,0,-926.3517871895716,-1547.5109528605701,731.7830949987685,0,451.85763602281304,7
2025-05-28 12:00:00,-69.34165198182652,-211.61551802341552,-347.066703854239,564.0339267621175,0,-825.7208826388162,-1628.5912516216658,788.5547805618982,0,453.95083028858534,7
2025-05-29 12:00:00,86.57453376179434,-176.2250750740606,-275.4247699606938,542.4613011269686,0,-762.470785580762,-1589.2507767061902,758.5871939383946,0,454.7546638631703,7
2025-05-30 12:00:00,15.190549284504776,-142.77224107107395,-231.06644955822267,579.6635319713469,0,-665.3512078018354,-1297.8421003625535,717.1536912862167,0,456.55581843542353,7
2025-06-02 12:00:00,-129.5862892858337,-419.6396319287914,-481.7090757816074,616.0107757754147,0,-957.4987455461879,-1716.2076555554686,774.2154119915702,0,432.4602718996072,7
2025-06-03 12:00:00,61.47105875681275,-123.98980728840418,-203.1142759241285,532.1783124628005,0,-684.3839934714721,-1419.5244191557076,722.6682761576117,0,450.5792837233204,7
2025-06-04 12:00:00,-53.06295987778396,-120.89037816695829,-186.05051971560704,674.9926508805939,0,-647.9441724926697,-1274.1943510470344,720.0849688860192,0,451.3083710324827,7
2025-06-05 12:00:00,38.539015573742695,-104.75726621513594,-153.39773741414834,780.8291863475629,0,-552.7728340136297,-1173.7466231552355,722.9780511835131,0,447.0182923500173,7
2025-06-06 12:00:00,176.50126512740724,-105.2887192418902,-148.85768160987664,709.479494307911,0,-520.1332116127586,-1071.1786167981793,705.474152987973,0,445.7609186912312,7
2025-06-09 12:00:00,-256.36833112443446,-341.585044444721,-376.5621479183159,610.5478960893253,0,-744.0100783690239,-1285.8584666780132,674.4138466496211,0,443.42006671084135,7
2025-06-10 12:00:00,607.166243382712,-103.28821077289521,-142.65415512987593,561.5184037945371,0,-483.5907415300757,-1120.2417421987789,674.8884253588404,0,443.69844112050504,7
