Edge,Family,Rotation,Omega,A,B,Nu,NLL,AIC,BIC
T0_E34,Bicopfamily.student,0,1.089722990989685,0.041085660457611084,0.9790118336677551,6.958456039428711,-643.0012510941241,-1278.0025021882482,-1257.5925047651497
T0_E35,Bicopfamily.student,0,0.5428541302680969,0.03144295886158943,0.9899170994758606,3.7490785121917725,-247.9255992471074,-487.8511984942148,-467.4412010711162
T0_E36,Bicopfamily.student,0,-0.8122004866600037,0.05762147903442383,0.9504175782203674,9.332521438598633,-389.2774458412915,-770.554891682583,-750.1448942594844
T0_E37,Bicopfamily.student,0,0.646301805973053,0.0358269065618515,0.9823828935623169,9.536334991455078,-248.34301848268802,-488.68603696537605,-468.27603954227743
T0_E38,Bicopfamily.student,0,-0.7136539816856384,0.03015921823680401,0.9704135656356812,5.5171799659729,-287.96505876329223,-567.9301175265845,-547.5201201034859
T0_E39,Bicopfamily.student,0,-0.7733709216117859,0.07227242738008499,0.9685446619987488,4.965867519378662,-374.0986791824603,-740.1973583649205,-719.7873609418219
T0_E40,Bicopfamily.student,0,0.840606689453125,0.031093407422304153,0.9731782674789429,5.806764125823975,-402.346922104076,-796.693844208152,-776.2838467850534
T0_E41,Bicopfamily.gumbel,0,0.7132959365844727,0.30202600359916687,0.8971400260925293,,-516.5238030446446,-1027.0476060892893,-1011.7401080219653
T0_E42,Bicopfamily.frank,0,3.855799436569214,0.9302218556404114,0.6492753028869629,,-203.10766370951592,-400.21532741903184,-384.9078293517079
T0_E43,Bicopfamily.frank,0,7.878644943237305,0.18139322102069855,0.9978030323982239,,-687.5613390908711,-1369.1226781817422,-1353.8151801144184
T0_E44,Bicopfamily.student,0,-0.5947932600975037,0.04058310389518738,0.9616575241088867,5.241233825683594,-223.813563829904,-439.627127659808,-419.2171302367094
T0_E45,Bicopfamily.frank,0,3.5502068996429443,0.3625847101211548,0.9616456627845764,,-183.20485924975247,-360.40971849950495,-345.102220432181
T0_E46,Bicopfamily.gumbel,180,-0.5095033049583435,0.15008632838726044,0.9741102457046509,,-189.73906368805893,-373.47812737611787,-358.17062930879393
T0_E47,Bicopfamily.student,0,0.489039808511734,0.05069589242339134,0.9604020714759827,3.6314964294433594,-180.69740345574962,-353.39480691149924,-332.98480948840063
T0_E48,Bicopfamily.student,0,0.5725124478340149,0.029414942488074303,0.994536817073822,3.5609829425811768,-255.24606751022534,-502.4921350204507,-482.0821375973521
T0_E49,Bicopfamily.gumbel,0,-0.4429653584957123,0.2118089497089386,0.8302491307258606,,-195.65484702663105,-385.3096940532621,-370.00219598593816
T0_E50,Bicopfamily.gumbel,0,0.17250993847846985,0.2557249367237091,0.8020767569541931,,-353.84198529037144,-701.6839705807429,-686.3764725134189
