Date,G_PC_1,G_PC_2,G_PC_3,L_PC_AAPL_1,L_PC_AAPL_2,L_PC_AAPL_3,L_PC_AMZN_1,L_PC_AMZN_2,L_PC_AMZN_3,L_PC_GLD_1,L_PC_GLD_2,L_PC_GLD_3,L_PC_GLD_4,L_PC_GLD_5,L_PC_GOOGL_1,L_PC_GOOGL_2,L_PC_GOOGL_3,L_PC_GOOGL_4,L_PC_IWM_1,L_PC_IWM_2,L_PC_IWM_3,L_PC_JPM_1,L_PC_JPM_2,L_PC_JPM_3,L_PC_MSFT_1,L_PC_MSFT_2,L_PC_MSFT_3,L_PC_NFLX_1,L_PC_NFLX_2,L_PC_NFLX_3,L_PC_NVDA_1,L_PC_NVDA_2,L_PC_NVDA_3,L_PC_QQQ_1,L_PC_QQQ_2,L_PC_QQQ_3,L_PC_SPY_1,L_PC_SPY_2,L_PC_SPY_3,L_PC_TLT_1,L_PC_TLT_2,L_PC_TLT_3,L_PC_TLT_4,L_PC_TSLA_1,L_PC_TSLA_2,L_PC_TSLA_3,L_PC_V_1,L_PC_V_2,L_PC_V_3
2022-01-25,0.17299567,0.1966623,0.06231309,0.89937717,0.7460987,0.16844063,0.2924843,0.5873797,0.5674586,0.9653366,0.56181234,0.61524665,0.6560235,0.45595524,0.14336422,0.58615917,0.23136316,0.7814643,0.5945661,0.8248714,0.22573687,0.7771472,0.62466735,0.4050054,0.91057104,0.75779533,0.8952654,0.018374206,0.4105648,0.63791126,0.11929995,0.38686082,0.112526864,0.0110824155,0.4102275,0.39246508,0.5417612,0.45572177,0.36812782,0.29657432,0.50854343,0.6668436,0.81555265,0.8872777,0.057366025,0.51685643,0.5747007,0.6429371,0.6679239
2022-01-26,0.035952214,0.64781964,0.2764963,0.6900823,0.45780197,0.19410713,0.6166173,0.9198496,0.3660786,0.96330726,0.14118077,0.04435728,0.89829165,0.15324782,0.103343345,0.78912836,0.19441149,0.891732,0.19245797,0.3171236,0.12567589,0.6719122,0.6765595,0.76454175,0.0059593637,0.24634072,0.010960035,0.31234634,0.5967504,0.0760991,0.08401215,0.5467058,0.19947939,0.63735026,0.45322767,0.3455597,0.1409036,0.21582747,0.21998557,0.9255066,0.93846536,0.3726979,0.07145815,0.82216245,0.50513905,0.9296611,0.79681605,0.5883674,0.8913128
2022-01-27,0.21398194,0.40531737,0.117823206,0.958911,0.49297294,0.9521771,0.048217542,0.84117675,0.4724531,0.72559375,0.66153216,0.08957764,0.49456263,0.2944414,0.6776617,0.8123359,0.924681,0.2012044,0.95507616,0.7882557,0.2638003,0.4492385,0.63105124,0.26473153,0.015388916,0.7820729,0.047108237,0.6667346,0.94027305,0.5746208,0.3041797,0.5880719,0.5902648,0.006899639,0.014630431,0.49507016,0.95666236,0.5153058,0.7495017,0.44718087,0.41247496,0.7675647,0.64909095,0.23001035,0.06750326,0.08525665,0.8517861,0.5605065,0.8869232
2022-01-28,0.5637876,0.32531697,0.2510137,0.16747507,0.0056931567,0.561749,0.65420103,0.20448497,0.45835993,0.7815329,0.66404486,0.10231425,0.8768247,0.83995944,0.29633722,0.1739215,0.20885067,0.7040471,0.62565815,0.23540309,0.6095669,0.97394043,0.8224729,0.7658245,0.92367864,0.16643657,0.7555987,0.108522825,0.41096032,0.92798406,0.68406874,0.36456013,0.53678876,0.542067,0.8878044,0.17003566,0.27424523,0.37249634,0.23384888,0.2938073,0.76459813,0.4563266,0.38113743,0.261201,0.7593451,0.5838356,0.4879078,0.44979575,0.16087064
2022-01-31,0.03583518,0.055876248,0.56000733,0.74486417,0.15288503,0.82917076,0.08477478,0.850586,0.5784223,0.9349091,0.70522124,0.33077615,0.32886806,0.8501943,0.20797645,0.5895253,0.5114748,0.10276956,0.3314147,0.988265,0.93900615,0.82710546,0.0811025,0.9154349,0.5012134,0.24193779,0.10444956,0.11959583,0.7901734,0.42935076,0.028900793,0.442148,0.4992268,0.009858001,0.81186515,0.91727966,0.9614366,0.8561269,0.417068,0.7200572,0.19089794,0.90821314,0.9028834,0.6824614,0.03792688,0.3616982,0.85185033,0.08659126,0.08976841
2022-02-01,0.18993932,0.2997021,0.5564634,0.39423457,0.46340984,0.3238322,0.40064055,0.69106257,0.25537688,0.78131676,0.79675543,0.7017786,0.3194324,0.46195424,0.11811568,0.8210025,0.39354637,0.04182319,0.0889049,0.350225,0.5760759,0.81994426,0.31868553,0.59300613,0.39517516,0.52883065,0.6976836,0.81591934,0.6171537,0.47656992,0.66707456,0.7230976,0.7154804,0.38151544,0.8318212,0.53625417,0.16898336,0.2929509,0.64222866,0.3042267,0.17035472,0.6498356,0.7610073,0.7218492,0.21883982,0.34878543,0.8112971,0.7384901,0.70099044
2022-02-02,0.6045793,0.80112296,0.9755316,0.04131343,0.9304363,0.030476237,0.8817491,0.81397384,0.41169268,0.20078427,0.37111837,0.8715217,0.69752,0.047235712,0.91132885,0.7655183,0.34685943,0.060731094,0.36938122,0.1255515,0.26120216,0.078992985,0.83443725,0.17721376,0.14763251,0.8309751,0.8981549,0.96054286,0.22022194,0.13189267,0.9676909,0.97575116,0.051520877,0.945015,0.13183519,0.11394072,0.038281437,0.20643847,0.25269127,0.82668024,0.78952837,0.31446916,0.19476457,0.1315171,0.94236106,0.9302951,0.05877521,0.5017484,0.88852125
2022-02-03,0.89844924,0.6720947,0.7455716,0.118072554,0.53840834,0.8486314,0.95276576,0.9924875,0.99396646,0.08252013,0.79251194,0.9267824,0.14024554,0.7832126,0.6729713,0.026468607,0.3563909,0.87297994,0.24564461,0.2560096,0.26944587,0.14646628,0.6247954,0.68675894,0.6163842,0.74283886,0.5816306,0.26919895,0.36400306,0.5181337,0.82575023,0.57180446,0.9054823,0.7380787,0.27871716,0.5027243,0.11560423,0.24226597,0.75434375,0.84590733,0.25238678,0.69432616,0.9593803,0.076339565,0.7019955,0.1389708,0.15834624,0.38890275,0.2677803
2022-02-04,0.51109105,0.09029385,0.025186352,0.9717278,0.88061607,0.1891623,0.005677914,0.002145956,0.0042460547,0.5379803,0.012164747,0.010134699,0.6611131,0.84094584,0.43190584,0.6044619,0.47667545,0.92047906,0.7886103,0.5591522,0.39562145,0.8065788,0.6892672,0.53458166,0.98751056,0.20178936,0.67719626,0.5615523,0.5577817,0.40647012,0.89361787,0.74246496,0.484437,0.49525636,0.49688706,0.77389926,0.68108225,0.5277696,0.6467205,0.013448298,0.21238823,0.17375411,0.040920552,0.87358236,0.41932508,0.68222934,0.96858126,0.53968006,0.14147292
2022-02-07,0.20844196,0.12352271,0.27143553,0.7085862,0.40387237,0.79010004,0.30021167,0.08007049,0.03113875,0.8929198,0.78945,0.7381231,0.13166654,0.8415544,0.15775482,0.34670523,0.7737456,0.29322448,0.7091341,0.93832314,0.8800768,0.63631856,0.19281887,0.8804757,0.2518898,0.4874195,0.16137713,0.26284584,0.38370034,0.3823607,0.2957578,0.422692,0.7396834,0.25895873,0.5130683,0.93179774,0.9370903,0.82135314,0.6839485,0.3411425,0.61772096,0.8441262,0.58281744,0.6839536,0.51014453,0.2154295,0.28128812,0.08811682,0.48918846
